"user_id","order_id","product_id","product_name","descriptions","category_id","category_name","option_id","option_name","price","on_sale","specs","username","full_name","street_address","state","zipcode","email","phone","total_item","shipping_fee","tax","order_month","order_date","order_year","delivery_date","delivery_status","total_cost"
"999","1899","1900","ESC8000 G3","G3 High-density GPU server with hybrid computing power. ASUS-patented Adaptable Topology design.","4300","Servers","1902","""""""ESC8000 G3 - 8 G Intel Xeon E5-1620 v3 (3.5G,140W,L3:10M,4C,HT)""""""","650","1","ESC4000 G3 Server with 2U 4-GPU Hybrid Computing Power with Mass Storage Capability","Tamara28","Tamara Gilbert","662 Wagner Village Apt. 039New Racheltown","PA","73180","thomas95@yahoo.com","+44(0)116 4960084","4","7","0.32","6","25","2017","7/11/2017","1","2607.32"
"999","1899","1900","ESC8000 G3","G3 High-density GPU server with hybrid computing power. ASUS-patented Adaptable Topology design.","4300","Servers","1902","""""""ESC8000 G3 - 8 G Intel Xeon E5-1620 v3 (3.5G,140W,L3:10M,4C,HT)""""""","750","0","ESC8000 G4 Server with High-density 4U GPU server support 8 GPUs","Tamara28","Tamara Gilbert","662 Wagner Village Apt. 039New Racheltown","PA","73180","thomas95@yahoo.com","+44(0)116 4960084","4","7","0.32","9","2","2019","9/6/2019","1","3007.32"
"998","1898","1900","ESC8000 G3","G3 High-density GPU server with hybrid computing power. ASUS-patented Adaptable Topology design.","4300","Servers","1901","""""""ESC8000 G3 - 8 G Intel Xeon E5-1603 V4(2.80GHz,140W,L3:10M)""""""","650","1","ESC4000 G3 Server with 2U 4-GPU Hybrid Computing Power with Mass Storage Capability","Andrew04","Andrew White","67815 Mcdaniel Courts Apt. 156Kevinberg","MI","80952","wilsonjennifer@beltran.com","+44117 4960443","9","28","0.15","2","23","2017","3/1/2017","1","5878.15"
"998","1898","1900","ESC8000 G3","G3 High-density GPU server with hybrid computing power. ASUS-patented Adaptable Topology design.","4300","Servers","1901","""""""ESC8000 G3 - 8 G Intel Xeon E5-1603 V4(2.80GHz,140W,L3:10M)""""""","750","0","ESC8000 G4 Server with High-density 4U GPU server support 8 GPUs","Andrew04","Andrew White","67815 Mcdaniel Courts Apt. 156Kevinberg","MI","80952","wilsonjennifer@beltran.com","+44117 4960443","9","28","0.15","1","30","2017","2/19/2017","1","6778.15"
"997","1897","1800","Ipad Mini 3th gen","3th gen Everything you love about iPad ó the beautiful screen and fast","4200","Tablets","1802","Ipad Mini 10-inch","499","1","Ipad Mini 7.9-inch (diagonal) LED-backlit Multi-Touch display with IPS technology","Mary19","Mary Morrison","06660 Stephanie Gardens Suite 788Smithland","SD","56695","sharon72@lewis.com","(0808) 1570594","9","23","0.51","12","20","2018","12/23/2018","0","4514.51"
"997","1897","1800","Ipad Mini 3th gen","3th gen Everything you love about iPad ó the beautiful screen and fast","4200","Tablets","1802","Ipad Mini 10-inch","599","1","Ipad Mini 10-inch (diagonal) LED-backlit Multi-Touch display with IPS technology","Mary19","Mary Morrison","06660 Stephanie Gardens Suite 788Smithland","SD","56695","sharon72@lewis.com","(0808) 1570594","9","23","0.51","9","30","2019","10/4/2019","0","5414.51"
"996","1896","1800","Ipad Mini 3th gen","3th gen Everything you love about iPad ó the beautiful screen and fast","4200","Tablets","1801","Ipad Mini 7.9-inch","499","1","Ipad Mini 7.9-inch (diagonal) LED-backlit Multi-Touch display with IPS technology","William25","William Ramirez","9512 Rodriguez StationWelchchester","SC","50383","gutierrezjustin@bernard.com","1174960738","5","28","0.51","8","30","2018","9/30/2018","1","2523.51"
"996","1896","1800","Ipad Mini 3th gen","3th gen Everything you love about iPad ó the beautiful screen and fast","4200","Tablets","1801","Ipad Mini 7.9-inch","599","1","Ipad Mini 10-inch (diagonal) LED-backlit Multi-Touch display with IPS technology","William25","William Ramirez","9512 Rodriguez StationWelchchester","SC","50383","gutierrezjustin@bernard.com","1174960738","5","28","0.51","11","8","2019","11/15/2019","1","3023.51"
"995","1895","1700","Ipad Air","4th gen The iPad Air is unbelievably thin and light. And yet it is so much more powerful and capable","4200","Tablets","1702","Ipad Air 12-inch","899","1","Ipad Air 9.7-inch (diagonal) LED-backlit Multi-Touch display with IPS technology","Kristen23","Kristen Wilkinson","475 Wilkerson Fork Suite 617East George","GA","90718","ethan94@andersen.net","+44141 496 0966","6","7","0.17","8","26","2019","9/1/2019","0","5401.17"
"995","1895","1700","Ipad Air","4th gen The iPad Air is unbelievably thin and light. And yet it is so much more powerful and capable","4200","Tablets","1702","Ipad Air 12-inch","999","0","Ipad Air 12-inch (diagonal) LED-backlit Multi-Touch display with IPS technology","Kristen23","Kristen Wilkinson","475 Wilkerson Fork Suite 617East George","GA","90718","ethan94@andersen.net","+44141 496 0966","6","7","0.17","11","13","2019","11/16/2019","0","6001.17"
