"user_id","username","full_name","street_address","state","zipcode","email","phone","order_id","total_item","shipping_fee","tax","total_cost","order_date","delivery_date","delivery_status"
"107","Timothy30","Timothy Bond","427 Walton LaneLake Karen","ID","85213","william91@kennedy-davis.biz","+44(0)909 8790263","1007","1","15","0.62","90.66","2018-10-17","2018-11-07","0"
"108","Kimberly08","Kimberly Salazar","1536 Jackson PathBrendamouth","CA","70157","schmidtjoe@rodriguez.com","+441914960698","1008","3","29","0.45","91.92","2018-10-22","2018-11-14","1"
"109","William09","William Howell","7180 Jason LightNorth Scott","AL","56877","marisasandoval@gmail.com","+44(0)115 496 0291","1009","4","19","0.68","48.58","2018-10-05","2018-11-24","1"
"110","Christine05","Christine Wilson","946 Thomas FlatEast Robert","KY","33278","butlercynthia@hotmail.com","+44(0)808 1570602","1010","3","25","0.46","59.61","2018-10-15","2018-12-15","0"
"111","Jody24","Jody Peterson DDS","37407 Timothy Knolls Suite 479North Rodneystad","NM","08147","liukeith@hotmail.com","+441632 960 831","1011","9","19","0.96","50.95","2018-10-17","2018-11-25","1"
"112","Andrew19","Andrew Washington","821 Garcia EstateNorth Jessicaview","VT","01429","fcarlson@kerr-macdonald.com","01174960992","1012","7","21","0.77","95.2","2018-10-01","2018-12-30","0"
"113","Kenneth08","Kenneth Smith","8025 Wilson DaleNew Grace","KS","24374","andrea75@martinez-bell.info","028 9018924","1013","6","12","0.14","93.23","2018-10-12","2018-12-21","0"
"114","Lindsey03","Lindsey Mcfarland","37595 Patricia VistaDukeville","IL","61386","phillipmorgan@yahoo.com","+44(0)1154960927","1014","7","25","0.17","32.24","2018-10-16","2018-12-05","0"
"115","Nicole10","Nicole Wright","7897 Wade CourtsEast Krystal","MS","09547","simmonscandice@gmail.com","+44(0)191 496 0305","1015","2","6","0.21","46.78","2018-10-04","2018-11-13","1"
"116","Mary13","Mary Kemp","2055 Vazquez Manors Suite 603South Denise","HI","74771","rivasangela@potts-martinez.com","(01632) 960 064","1016","7","28","0.6","49.38","2018-10-10","2018-12-03","1"
"117","Russell17","Russell Foster","704 Charles RampDylanhaven","DE","09845","richard30@yahoo.com","+44(0)1632 960343","1017","9","23","0.72","73.18","2018-10-05","2018-11-13","1"
"118","Sheila09","Sheila Young","76120 Bonilla Plaza Suite 007North Jessica","NE","42565","billmitchell@bryant-armstrong.com","+4420 7496 0077","1018","10","9","0.45","45.91","2018-10-06","2018-11-18","1"
"120","Lisa03","Lisa Greene","59994 Knight Shores Apt. 855Mckenziemouth","HI","50483","granthall@morris.com","+44121 4960731","1020","10","9","0.13","76.91","2018-10-22","2018-11-25","1"
"121","Tara15","Tara Holt MD","3266 Robinson UnionsHansonside","AR","51321","njohnson@harvey.net","+44151 4960359","1025","1","20","0.78","99.3","2018-10-10","2018-11-06","0"
"121","Tara15","Tara Holt MD","3266 Robinson UnionsHansonside","AR","51321","njohnson@harvey.net","+44151 4960359","1022","9","18","0.28","94.51","2018-10-24","2018-11-11","1"
"121","Tara15","Tara Holt MD","3266 Robinson UnionsHansonside","AR","51321","njohnson@harvey.net","+44151 4960359","1021","1","16","0.38","46.08","2018-10-15","2018-12-15","0"
"121","Tara15","Tara Holt MD","3266 Robinson UnionsHansonside","AR","51321","njohnson@harvey.net","+44151 4960359","1024","9","7","0.34","31.72","2018-10-02","2018-12-27","0"
"121","Tara15","Tara Holt MD","3266 Robinson UnionsHansonside","AR","51321","njohnson@harvey.net","+44151 4960359","1023","4","17","0.95","20.51","2018-10-13","2018-12-12","0"
"122","Michael23","Michael Parrish","651 Richardson Greens Apt. 195Port Jasonburgh","NH","78415","jennifer82@hotmail.com","(0114) 496 0693","0","0","0","0","0","","","0"
"123","Christine01","Christine Patterson","2339 Thomas Plains Suite 583New Martin","TN","30048","cookjessica@washington-hall.com","0141 4960840","0","0","0","0","0","","","0"
"124","Anthony22","Anthony Gentry","348 Johnson ClubNorth Bethany","NV","81781","mcdowelljill@hotmail.com","01632960269","0","0","0","0","0","","","0"
"125","Meghan20","Meghan Collins","06454 Ronnie Passage Apt. 038West James","MS","57219","vphelps@oconnor.com","+44(0)141 4960636","0","0","0","0","0","","","0"
"126","Alexander01","Alexander Morgan","937 Brian Fords Apt. 670South Annettebury","KY","23585","sonyagonzalez@gmail.com","01632960443","1026","4","8","0.94","72.51","2018-10-24","2018-11-03","0"
"127","Christopher18","Christopher Bennett","5494 Karen OverpassSouth Desireeview","NH","66696","mcdonaldariel@hotmail.com","(0114) 496 0150","1027","9","15","0.85","57.48","2018-10-03","2018-11-15","0"
"128","Judy04","Judy Rodriguez","378 Meyers Brooks Apt. 861Port Isabel","IA","46078","mwood@james-rogers.com","+44114 4960692","1028","2","14","0.85","56.81","2018-10-15","2018-12-08","0"
"129","Michele27","Michele Colon","27235 Shannon CrestDavisberg","MT","70141","jennifer58@hotmail.com","(0808) 157 0864","1029","2","21","0.99","44.75","2018-10-20","2018-11-16","1"
