user_id,username,password,full_name,Address,email,phone,user_id,order_id,order_id,total_item,shipping_fee,tax,total_cost,order_date,delivery_date,tracking_number,delivery_status
107,Timothy30,n+iXn6Jr%X,Timothy Bond,"427 Walton Lane
Lake Karen, ID 85213",william91@kennedy-davis.biz,+44(0)909 8790263,107,1007,1007,1,15,0.62,90.66,2018-10-17,2018-11-07,YGUB99878554549517,0
108,Kimberly08,%ceRp+pW9b,Kimberly Salazar,"1536 Jackson Path
Brendamouth, CA 70157",schmidtjoe@rodriguez.com,+441914960698,108,1008,1008,3,29,0.45,91.92,2018-10-22,2018-11-14,RCZN23595372668689,1
109,William09,U^3mUGgq93,William Howell,"7180 Jason Light
North Scott, AL 56877",marisasandoval@gmail.com,+44(0)115 496 0291,109,1009,1009,4,19,0.68,48.58,2018-10-05,2018-11-24,ZAIR51446922116890,1
110,Christine05,(5Eg842S&5,Christine Wilson,"946 Thomas Flat
East Robert, KY 33278",butlercynthia@hotmail.com,+44(0)808 1570602,110,1010,1010,3,25,0.46,59.61,2018-10-15,2018-12-15,ZUMG37676559206982,0
111,Jody24,(%O9AMPFJq,Jody Peterson DDS,"37407 Timothy Knolls Suite 479
North Rodneystad, NM 08147",liukeith@hotmail.com,+441632 960 831,111,1011,1011,9,19,0.96,50.95,2018-10-17,2018-11-25,DEYL31686655893350,1
112,Andrew19,oVwjFo9v)5,Andrew Washington,"821 Garcia Estate
North Jessicaview, VT 01429",fcarlson@kerr-macdonald.com,01174960992,112,1012,1012,7,21,0.77,95.2,2018-10-01,2018-12-30,UUUN82246050417440,0
113,Kenneth08,t)8Kdj%q*1,Kenneth Smith,"8025 Wilson Dale
New Grace, KS 24374",andrea75@martinez-bell.info,028 9018924,113,1013,1013,6,12,0.14,93.23,2018-10-12,2018-12-21,YUCF24149232299818,0
114,Lindsey03,#18GLfqG9K,Lindsey Mcfarland,"37595 Patricia Vista
Dukeville, IL 61386",phillipmorgan@yahoo.com,+44(0)1154960927,114,1014,1014,7,25,0.17,32.24,2018-10-16,2018-12-05,OBHT44998460083871,0
115,Nicole10,#1Jo$bgxz2,Nicole Wright,"7897 Wade Courts
East Krystal, MS 09547",simmonscandice@gmail.com,+44(0)191 496 0305,115,1015,1015,2,6,0.21,46.78,2018-10-04,2018-11-13,FGYK78705539578663,1
116,Mary13,Kt6kkxMkW^,Mary Kemp,"2055 Vazquez Manors Suite 603
South Denise, HI 74771",rivasangela@potts-martinez.com,(01632) 960 064,116,1016,1016,7,28,0.6,49.38,2018-10-10,2018-12-03,KHDF47259462038731,1
117,Russell17,E7qz$Wx*!h,Russell Foster,"704 Charles Ramp
Dylanhaven, DE 09845",richard30@yahoo.com,+44(0)1632 960343,117,1017,1017,9,23,0.72,73.18,2018-10-05,2018-11-13,CACW24522581090960,1
118,Sheila09,7Oh_#qCd^3,Sheila Young,"76120 Bonilla Plaza Suite 007
North Jessica, NE 42565",billmitchell@bryant-armstrong.com,+4420 7496 0077,118,1018,1018,10,9,0.45,45.91,2018-10-06,2018-11-18,OSTG48721030550072,1
119,Krista19,V%367Rk_sp,Krista Smith,"USCGC Owens
FPO AP 44364",nelsonnathan@hotmail.com,+44808 1570804,119,1019,1019,3,15,0.33,51.28,2018-10-06,2018-12-05,FDOS04944790580050,0
120,Lisa03,)Tt0MMwqfD,Lisa Greene,"59994 Knight Shores Apt. 855
Mckenziemouth, HI 50483",granthall@morris.com,+44121 4960731,120,1020,1020,10,9,0.13,76.91,2018-10-22,2018-11-25,JFPD41816934869577,1
121,Tara15,(K_KOOJx@1,Tara Holt MD,"3266 Robinson Unions
Hansonside, AR 51321",njohnson@harvey.net,+44151 4960359,121,1025,1025,1,20,0.78,99.3,2018-10-10,2018-11-06,JDOB44464415589196,0
121,Tara15,(K_KOOJx@1,Tara Holt MD,"3266 Robinson Unions
Hansonside, AR 51321",njohnson@harvey.net,+44151 4960359,121,1022,1022,9,18,0.28,94.51,2018-10-24,2018-11-11,FEGX42938154584448,1
121,Tara15,(K_KOOJx@1,Tara Holt MD,"3266 Robinson Unions
Hansonside, AR 51321",njohnson@harvey.net,+44151 4960359,121,1021,1021,1,16,0.38,46.08,2018-10-15,2018-12-15,UNKU27806421245581,0
121,Tara15,(K_KOOJx@1,Tara Holt MD,"3266 Robinson Unions
Hansonside, AR 51321",njohnson@harvey.net,+44151 4960359,121,1024,1024,9,7,0.34,31.72,2018-10-02,2018-12-27,UHOZ27701349399173,0
121,Tara15,(K_KOOJx@1,Tara Holt MD,"3266 Robinson Unions
Hansonside, AR 51321",njohnson@harvey.net,+44151 4960359,121,1023,1023,4,17,0.95,20.51,2018-10-13,2018-12-12,CZBI84779664519988,0
122,Michael23,^nU)FZirJ1,Michael Parrish,"651 Richardson Greens Apt. 195
Port Jasonburgh, NH 78415",jennifer82@hotmail.com,(0114) 496 0693,,,,,,,,,,,
123,Christine01,)+fT*ify^3,Christine Patterson,"2339 Thomas Plains Suite 583
New Martin, TN 30048",cookjessica@washington-hall.com,0141 4960840,,,,,,,,,,,
124,Anthony22,XF4CzTyAz!,Anthony Gentry,"348 Johnson Club
North Bethany, NV 81781",mcdowelljill@hotmail.com,01632960269,,,,,,,,,,,
125,Meghan20,__Xs8Ve7A@,Meghan Collins,"06454 Ronnie Passage Apt. 038
West James, MS 57219",vphelps@oconnor.com,+44(0)141 4960636,,,,,,,,,,,
126,Alexander01,*0zSkXWC(C,Alexander Morgan,"937 Brian Fords Apt. 670
South Annettebury, KY 23585",sonyagonzalez@gmail.com,01632960443,126,1026,1026,4,8,0.94,72.51,2018-10-24,2018-11-03,XKCP85026255293034,0
127,Christopher18,^9ISXsUvH2,Christopher Bennett,"5494 Karen Overpass
South Desireeview, NH 66696",mcdonaldariel@hotmail.com,(0114) 496 0150,127,1027,1027,9,15,0.85,57.48,2018-10-03,2018-11-15,GYIL10470476530305,0
128,Judy04,_Ybp4dxfS_,Judy Rodriguez,"378 Meyers Brooks Apt. 861
Port Isabel, IA 46078",mwood@james-rogers.com,+44114 4960692,128,1028,1028,2,14,0.85,56.81,2018-10-15,2018-12-08,BUSG25292901979206,0
129,Michele27,itN2V$8d(3,Michele Colon,"27235 Shannon Crest
Davisberg, MT 70141",jennifer58@hotmail.com,(0808) 157 0864,129,1029,1029,2,21,0.99,44.75,2018-10-20,2018-11-16,JDNL62830982283990,1
130,Max28,$4rK+sX(9n,Max Cannon,"877 Hernandez Terrace Apt. 663
Holtview, FL 21311",radams@tran.net,01632 960 268,130,1030,1030,3,13,0.86,28.01,2018-10-12,2018-12-17,IIZL62515398858350,0
131,Travis16,!MLkNnTH1s,Travis Miles,"Unit 2331 Box 8671
DPO AA 32826",christopherbailey@pacheco.com,(0131) 4960683,131,1031,1031,7,26,0.19,60.55,2018-10-19,2018-11-11,DBFR22871321449466,0
132,Richard03,RQ3Bh1+Wd(,Richard Snyder,"354 Chavez Loop Apt. 647
Hillton, SC 28271",julie02@robertson.com,+44(0)1214960396,132,1032,1032,8,8,0.49,45.6,2018-10-12,2018-12-27,SUAN05650501395792,0
133,Emily19,A4VjFkO4$G,Emily Lopez,"81245 Williams Green
East Sarah, TX 83442",billy79@hotmail.com,+443069990704,133,1033,1033,3,15,0.08,97.22,2018-10-23,2018-11-22,OAJT05665682186820,1
134,Nicole16,W6jCMCqp!x,Nicole Adams,"49016 James Burg
South Michaelside, UT 62731",tracykeith@hotmail.com,029 2018 0844,134,1034,1034,3,19,0.75,22.7,2018-10-19,2018-12-30,WUMR12322456546691,1
135,Kelly24,+3DDWckQ2O,Kelly Morse,"172 Samuel Pine
Lake Edwardchester, MD 11585",sandersrichard@petersen-myers.com,+44121 496 0976,135,1039,1039,7,11,0.51,39.22,2018-10-19,2018-12-24,HXQL27921216219345,1
135,Kelly24,+3DDWckQ2O,Kelly Morse,"172 Samuel Pine
Lake Edwardchester, MD 11585",sandersrichard@petersen-myers.com,+44121 496 0976,135,1036,1036,5,18,0.53,33.15,2018-10-16,2018-12-04,IKBD18108800249534,0
